Fracción,Registros,Pandas (s),Polars (s),Speedup
25%,20000,0.005987644195556641,0.005076885223388672,1.1793932563163332
50%,40000,0.009265661239624023,0.005928516387939453,1.562897128609346
75%,60000,0.011883020401000977,0.006731748580932617,1.7652204710465733
100%,80000,0.01328897476196289,0.008493423461914062,1.5646193577363574
